"x","y","z","mean"
5.200000000000000178e+00,-1.999999999999999556e-01,2.000000000000000111e-01,2.035774416495485895e+01
5.400000000000000355e+00,-1.999999999999999556e-01,2.000000000000000111e-01,2.030921874004540939e+01
5.200000000000000178e+00,0.000000000000000000e+00,2.000000000000000111e-01,2.074395665966058289e+01
5.400000000000000355e+00,0.000000000000000000e+00,2.000000000000000111e-01,2.062016344574260884e+01
5.200000000000000178e+00,2.000000000000001776e-01,2.000000000000000111e-01,2.067131496231067800e+01
5.400000000000000355e+00,2.000000000000001776e-01,2.000000000000000111e-01,2.041699333580181630e+01
5.200000000000000178e+00,4.000000000000003553e-01,2.000000000000000111e-01,2.016009347535060314e+01
5.000000000000000000e+00,-5.999999999999998668e-01,4.000000000000000222e-01,2.015263502097973713e+01
5.200000000000000178e+00,-5.999999999999998668e-01,4.000000000000000222e-01,2.109726078455845055e+01
5.400000000000000355e+00,-5.999999999999998668e-01,4.000000000000000222e-01,2.112789428463016606e+01
5.600000000000000533e+00,-5.999999999999998668e-01,4.000000000000000222e-01,2.027933311000602856e+01
5.000000000000000000e+00,-3.999999999999999112e-01,4.000000000000000222e-01,2.156493699134308883e+01
5.200000000000000178e+00,-3.999999999999999112e-01,4.000000000000000222e-01,2.282114057186710454e+01
5.400000000000000355e+00,-3.999999999999999112e-01,4.000000000000000222e-01,2.292639055501355827e+01
5.600000000000000533e+00,-3.999999999999999112e-01,4.000000000000000222e-01,2.189980489436820932e+01
5.800000000000000711e+00,-3.999999999999999112e-01,4.000000000000000222e-01,2.012352373669479988e+01
4.800000000000000711e+00,-1.999999999999999556e-01,4.000000000000000222e-01,2.027831986655750995e+01
5.000000000000000000e+00,-1.999999999999999556e-01,4.000000000000000222e-01,2.267269515431410554e+01
5.200000000000000178e+00,-1.999999999999999556e-01,4.000000000000000222e-01,2.418918298287908897e+01
5.400000000000000355e+00,-1.999999999999999556e-01,4.000000000000000222e-01,2.434051844802170095e+01
5.600000000000000533e+00,-1.999999999999999556e-01,4.000000000000000222e-01,2.311615290062381689e+01
5.800000000000000711e+00,-1.999999999999999556e-01,4.000000000000000222e-01,2.097485481575327881e+01
4.800000000000000711e+00,0.000000000000000000e+00,4.000000000000000222e-01,2.073097721040551278e+01
5.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000222e-01,2.330032431532265846e+01
5.200000000000000178e+00,0.000000000000000000e+00,4.000000000000000222e-01,2.493785962367203268e+01
5.400000000000000355e+00,0.000000000000000000e+00,4.000000000000000222e-01,2.506449008484397822e+01
5.600000000000000533e+00,0.000000000000000000e+00,4.000000000000000222e-01,2.363530595678479429e+01
5.800000000000000711e+00,0.000000000000000000e+00,4.000000000000000222e-01,2.115773929928061037e+01
4.800000000000000711e+00,2.000000000000001776e-01,4.000000000000000222e-01,2.087227024133536446e+01
5.000000000000000000e+00,2.000000000000001776e-01,4.000000000000000222e-01,2.337475775977630121e+01
5.200000000000000178e+00,2.000000000000001776e-01,4.000000000000000222e-01,2.493270842164481138e+01
5.400000000000000355e+00,2.000000000000001776e-01,4.000000000000000222e-01,2.493774433394568035e+01
5.600000000000000533e+00,2.000000000000001776e-01,4.000000000000000222e-01,2.332364738572286456e+01
5.800000000000000711e+00,2.000000000000001776e-01,4.000000000000000222e-01,2.060874315835800985e+01
