"x","y","z","mean"
5.200000000000000178e+00,-2.999999999999998224e-01,2.000000000000000111e-01,2.000937869617720821e+01
5.299999999999999822e+00,-2.999999999999998224e-01,2.000000000000000111e-01,2.010035995634972750e+01
5.100000000000000533e+00,-1.999999999999999556e-01,2.000000000000000111e-01,2.004536739238751508e+01
5.200000000000000178e+00,-1.999999999999999556e-01,2.000000000000000111e-01,2.035774416495485895e+01
5.299999999999999822e+00,-1.999999999999999556e-01,2.000000000000000111e-01,2.044811725252359835e+01
5.400000000000000355e+00,-1.999999999999999556e-01,2.000000000000000111e-01,2.030921874004540939e+01
5.100000000000000533e+00,-9.999999999999986677e-02,2.000000000000000111e-01,2.029006489435748151e+01
5.200000000000000178e+00,-9.999999999999986677e-02,2.000000000000000111e-01,2.060621862438831187e+01
5.299999999999999822e+00,-9.999999999999986677e-02,2.000000000000000111e-01,2.068813436437720910e+01
5.400000000000000355e+00,-9.999999999999986677e-02,2.000000000000000111e-01,2.052720445519422654e+01
5.500000000000000000e+00,-9.999999999999986677e-02,2.000000000000000111e-01,2.013512064115273148e+01
5.100000000000000533e+00,0.000000000000000000e+00,2.000000000000000111e-01,2.043594326806097072e+01
5.200000000000000178e+00,0.000000000000000000e+00,2.000000000000000111e-01,2.074395665966058289e+01
5.299999999999999822e+00,0.000000000000000000e+00,2.000000000000000111e-01,2.080858013600536438e+01
5.400000000000000355e+00,0.000000000000000000e+00,2.000000000000000111e-01,2.062016344574260884e+01
5.500000000000000000e+00,0.000000000000000000e+00,2.000000000000000111e-01,2.019038712357086851e+01
5.100000000000000533e+00,1.000000000000000888e-01,2.000000000000000111e-01,2.047852556378533961e+01
5.200000000000000178e+00,1.000000000000000888e-01,2.000000000000000111e-01,2.076559544836417004e+01
5.299999999999999822e+00,1.000000000000000888e-01,2.000000000000000111e-01,2.080379216221081506e+01
5.400000000000000355e+00,1.000000000000000888e-01,2.000000000000000111e-01,2.058286929075376648e+01
5.500000000000000000e+00,1.000000000000000888e-01,2.000000000000000111e-01,2.011448807035761277e+01
5.100000000000000533e+00,2.000000000000001776e-01,2.000000000000000111e-01,2.041795232040363217e+01
5.200000000000000178e+00,2.000000000000001776e-01,2.000000000000000111e-01,2.067131496231067800e+01
5.299999999999999822e+00,2.000000000000001776e-01,2.000000000000000111e-01,2.067442306127342988e+01
5.400000000000000355e+00,2.000000000000001776e-01,2.000000000000000111e-01,2.041699333580181630e+01
5.100000000000000533e+00,3.000000000000002665e-01,2.000000000000000111e-01,2.025847078455749184e+01
5.200000000000000178e+00,3.000000000000002665e-01,2.000000000000000111e-01,2.046634129339169306e+01
5.299999999999999822e+00,3.000000000000002665e-01,2.000000000000000111e-01,2.042692272896669436e+01
5.400000000000000355e+00,3.000000000000002665e-01,2.000000000000000111e-01,2.013050825092396678e+01
5.100000000000000533e+00,4.000000000000003553e-01,2.000000000000000111e-01,2.000767985181848019e+01
5.200000000000000178e+00,4.000000000000003553e-01,2.000000000000000111e-01,2.016009347535060314e+01
5.299999999999999822e+00,4.000000000000003553e-01,2.000000000000000111e-01,2.007256222136605572e+01
5.100000000000000533e+00,-5.000000000000000000e-01,3.000000000000000444e-01,2.009045813346234510e+01
5.200000000000000178e+00,-5.000000000000000000e-01,3.000000000000000444e-01,2.042153104739244895e+01
5.299999999999999822e+00,-5.000000000000000000e-01,3.000000000000000444e-01,2.053861011900972500e+01
5.400000000000000355e+00,-5.000000000000000000e-01,3.000000000000000444e-01,2.043654954415780622e+01
5.500000000000000000e+00,-5.000000000000000000e-01,3.000000000000000444e-01,2.012808120714805682e+01
5.000000000000000000e+00,-3.999999999999999112e-01,3.000000000000000444e-01,2.010854679641870391e+01
5.100000000000000533e+00,-3.999999999999999112e-01,3.000000000000000444e-01,2.069296914055790637e+01
5.200000000000000178e+00,-3.999999999999999112e-01,3.000000000000000444e-01,2.106747934016207324e+01
5.299999999999999822e+00,-3.999999999999999112e-01,3.000000000000000444e-01,2.120520339385161890e+01
5.400000000000000355e+00,-3.999999999999999112e-01,3.000000000000000444e-01,2.109886521829255557e+01
5.500000000000000000e+00,-3.999999999999999112e-01,3.000000000000000444e-01,2.076183340063372640e+01
5.600000000000000533e+00,-3.999999999999999112e-01,3.000000000000000444e-01,2.022586025450735292e+01
5.000000000000000000e+00,-2.999999999999998224e-01,3.000000000000000444e-01,2.058547206045265554e+01
5.100000000000000533e+00,-2.999999999999998224e-01,3.000000000000000444e-01,2.122459315242965161e+01
5.200000000000000178e+00,-2.999999999999998224e-01,3.000000000000000444e-01,2.163684617308983960e+01
5.299999999999999822e+00,-2.999999999999998224e-01,3.000000000000000444e-01,2.179065860388172382e+01
5.400000000000000355e+00,-2.999999999999998224e-01,3.000000000000000444e-01,2.167637472959042455e+01
5.500000000000000000e+00,-2.999999999999998224e-01,3.000000000000000444e-01,2.130770480855686699e+01
5.600000000000000533e+00,-2.999999999999998224e-01,3.000000000000000444e-01,2.071927306840391125e+01
4.900000000000000355e+00,-1.999999999999999556e-01,3.000000000000000444e-01,2.010986990902101823e+01
5.000000000000000000e+00,-1.999999999999999556e-01,3.000000000000000444e-01,2.098012284189606191e+01
5.100000000000000533e+00,-1.999999999999999556e-01,3.000000000000000444e-01,2.166259437245783914e+01
5.200000000000000178e+00,-1.999999999999999556e-01,3.000000000000000444e-01,2.210325544247509200e+01
5.299999999999999822e+00,-1.999999999999999556e-01,3.000000000000000444e-01,2.226601450305398089e+01
5.400000000000000355e+00,-1.999999999999999556e-01,3.000000000000000444e-01,2.213874908224415350e+01
5.500000000000000000e+00,-1.999999999999999556e-01,3.000000000000000444e-01,2.173521390375993434e+01
5.600000000000000533e+00,-1.999999999999999556e-01,3.000000000000000444e-01,2.109247821408199286e+01
5.700000000000000178e+00,-1.999999999999999556e-01,3.000000000000000444e-01,2.026480994840634509e+01
4.900000000000000355e+00,-9.999999999999986677e-02,3.000000000000000444e-01,2.037242512079149037e+01
5.000000000000000000e+00,-9.999999999999986677e-02,3.000000000000000444e-01,2.127802572061262509e+01
5.100000000000000533e+00,-9.999999999999986677e-02,3.000000000000000444e-01,2.198840236634782386e+01
5.200000000000000178e+00,-9.999999999999986677e-02,3.000000000000000444e-01,2.244472812314094767e+01
5.299999999999999822e+00,-9.999999999999986677e-02,3.000000000000000444e-01,2.260693225252975225e+01
5.400000000000000355e+00,-9.999999999999986677e-02,3.000000000000000444e-01,2.246056073253659946e+01
5.500000000000000000e+00,-9.999999999999986677e-02,3.000000000000000444e-01,2.201916526161294740e+01
5.600000000000000533e+00,-9.999999999999986677e-02,3.000000000000000444e-01,2.132172076293715790e+01
5.700000000000000178e+00,-9.999999999999986677e-02,3.000000000000000444e-01,2.042601712771315547e+01
4.900000000000000355e+00,0.000000000000000000e+00,3.000000000000000444e-01,2.054947579365178356e+01
5.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000444e-01,2.146966112979846741e+01
5.100000000000000533e+00,0.000000000000000000e+00,3.000000000000000444e-01,2.218917965572345707e+01
5.200000000000000178e+00,0.000000000000000000e+00,3.000000000000000444e-01,2.264568788573032521e+01
5.299999999999999822e+00,0.000000000000000000e+00,3.000000000000000444e-01,2.279604591918166534e+01
5.400000000000000355e+00,0.000000000000000000e+00,3.000000000000000444e-01,2.262386094535660419e+01
5.500000000000000000e+00,0.000000000000000000e+00,3.000000000000000444e-01,2.214233024839557729e+01
5.600000000000000533e+00,0.000000000000000000e+00,3.000000000000000444e-01,2.139172558102562860e+01
5.700000000000000178e+00,0.000000000000000000e+00,3.000000000000000444e-01,2.043245175653246903e+01
4.900000000000000355e+00,1.000000000000000888e-01,3.000000000000000444e-01,2.063903338359613926e+01
5.000000000000000000e+00,1.000000000000000888e-01,3.000000000000000444e-01,2.155079393276376365e+01
5.100000000000000533e+00,1.000000000000000888e-01,3.000000000000000444e-01,2.225855453375183046e+01
5.200000000000000178e+00,1.000000000000000888e-01,3.000000000000000444e-01,2.269806819011273902e+01
5.299999999999999822e+00,1.000000000000000888e-01,3.000000000000000444e-01,2.282436567007578887e+01
5.400000000000000355e+00,1.000000000000000888e-01,3.000000000000000444e-01,2.261976229132850591e+01
5.500000000000000000e+00,1.000000000000000888e-01,3.000000000000000444e-01,2.209707127654883507e+01
5.600000000000000533e+00,1.000000000000000888e-01,3.000000000000000444e-01,2.129722292999734279e+01
5.700000000000000178e+00,1.000000000000000888e-01,3.000000000000000444e-01,2.028217385235588210e+01
4.900000000000000355e+00,2.000000000000001776e-01,3.000000000000000444e-01,2.064256370303393240e+01
5.000000000000000000e+00,2.000000000000001776e-01,3.000000000000000444e-01,2.152209714127540252e+01
5.100000000000000533e+00,2.000000000000001776e-01,3.000000000000000444e-01,2.219648822322673709e+01
5.200000000000000178e+00,2.000000000000001776e-01,3.000000000000000444e-01,2.260141686637041758e+01
5.299999999999999822e+00,2.000000000000001776e-01,3.000000000000000444e-01,2.269156512744197229e+01
5.400000000000000355e+00,2.000000000000001776e-01,3.000000000000000444e-01,2.244880934203909462e+01
5.500000000000000000e+00,2.000000000000001776e-01,3.000000000000000444e-01,2.188566524660362944e+01
5.600000000000000533e+00,2.000000000000001776e-01,3.000000000000000444e-01,2.104308089771874890e+01
4.900000000000000355e+00,3.000000000000002665e-01,3.000000000000000444e-01,2.056410582219608685e+01
5.000000000000000000e+00,3.000000000000002665e-01,3.000000000000000444e-01,2.138829721943020701e+01
5.100000000000000533e+00,3.000000000000002665e-01,3.000000000000000444e-01,2.200847759731841080e+01
5.200000000000000178e+00,3.000000000000002665e-01,3.000000000000000444e-01,2.236216178044391967e+01
5.299999999999999822e+00,3.000000000000002665e-01,3.000000000000000444e-01,2.240527765069476729e+01
5.400000000000000355e+00,3.000000000000002665e-01,3.000000000000000444e-01,2.212023275304292724e+01
5.500000000000000000e+00,3.000000000000002665e-01,3.000000000000000444e-01,2.151941083186548909e+01
5.600000000000000533e+00,3.000000000000002665e-01,3.000000000000000444e-01,2.064314590582786479e+01
4.900000000000000355e+00,4.000000000000003553e-01,3.000000000000000444e-01,2.040937462911331224e+01
5.000000000000000000e+00,4.000000000000003553e-01,3.000000000000000444e-01,2.115715535140354575e+01
5.100000000000000533e+00,4.000000000000003553e-01,3.000000000000000444e-01,2.170442655617022965e+01
5.200000000000000178e+00,4.000000000000003553e-01,3.000000000000000444e-01,2.199237522067484107e+01
5.299999999999999822e+00,4.000000000000003553e-01,3.000000000000000444e-01,2.197973609159797803e+01
5.400000000000000355e+00,4.000000000000003553e-01,3.000000000000000444e-01,2.165042071842761473e+01
5.500000000000000000e+00,4.000000000000003553e-01,3.000000000000000444e-01,2.101686653895875168e+01
5.600000000000000533e+00,4.000000000000003553e-01,3.000000000000000444e-01,2.011817399732927569e+01
4.900000000000000355e+00,5.000000000000000000e-01,3.000000000000000444e-01,2.018506605720147817e+01
5.000000000000000000e+00,5.000000000000000000e-01,3.000000000000000444e-01,2.083855904941444948e+01
5.100000000000000533e+00,5.000000000000000000e-01,3.000000000000000444e-01,2.129750749139920885e+01
5.200000000000000178e+00,5.000000000000000000e-01,3.000000000000000444e-01,2.150839542376990465e+01
5.299999999999999822e+00,5.000000000000000000e-01,3.000000000000000444e-01,2.143414444597974367e+01
5.400000000000000355e+00,5.000000000000000000e-01,3.000000000000000444e-01,2.106102598800936931e+01
5.500000000000000000e+00,5.000000000000000000e-01,3.000000000000000444e-01,2.040167473292800082e+01
5.000000000000000000e+00,6.000000000000000888e-01,3.000000000000000444e-01,2.044386681560655461e+01
5.100000000000000533e+00,6.000000000000000888e-01,3.000000000000000444e-01,2.080320651611471661e+01
