"x","y","z","mean"
5.000000000000000000e+00,-7.999999999999998224e-01,0.000000000000000000e+00,1.562551105358403980e+01
5.400000000000000355e+00,-7.999999999999998224e-01,0.000000000000000000e+00,1.582965897846740511e+01
4.599999999999999645e+00,-3.999999999999999112e-01,0.000000000000000000e+00,1.501787788662731948e+01
5.000000000000000000e+00,-3.999999999999999112e-01,0.000000000000000000e+00,1.683383138503892695e+01
5.400000000000000355e+00,-3.999999999999999112e-01,0.000000000000000000e+00,1.713684071861572278e+01
5.800000000000000711e+00,-3.999999999999999112e-01,0.000000000000000000e+00,1.569326126841267133e+01
4.599999999999999645e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.548849502463973238e+01
5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.746637827283472078e+01
5.400000000000000355e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.761462978936236823e+01
5.800000000000000711e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.557183004467057330e+01
4.599999999999999645e+00,4.000000000000003553e-01,0.000000000000000000e+00,1.572096286343639449e+01
5.000000000000000000e+00,4.000000000000003553e-01,0.000000000000000000e+00,1.724292515835584183e+01
5.400000000000000355e+00,4.000000000000003553e-01,0.000000000000000000e+00,1.688738511501285799e+01
4.599999999999999645e+00,8.000000000000002665e-01,0.000000000000000000e+00,1.571365013917798059e+01
5.000000000000000000e+00,8.000000000000002665e-01,0.000000000000000000e+00,1.631215279738356116e+01
5.400000000000000355e+00,8.000000000000002665e-01,0.000000000000000000e+00,1.534589427342945811e+01
4.599999999999999645e+00,1.200000000000000178e+00,0.000000000000000000e+00,1.538765418890438319e+01
5.000000000000000000e+00,1.200000000000000178e+00,0.000000000000000000e+00,1.504944905179428538e+01
5.000000000000000000e+00,-1.199999999999999956e+00,4.000000000000000222e-01,1.603951343642812333e+01
5.400000000000000355e+00,-1.199999999999999956e+00,4.000000000000000222e-01,1.622910877878229385e+01
5.800000000000000711e+00,-1.199999999999999956e+00,4.000000000000000222e-01,1.512315280864166844e+01
4.599999999999999645e+00,-7.999999999999998224e-01,4.000000000000000222e-01,1.600268658956294487e+01
5.000000000000000000e+00,-7.999999999999998224e-01,4.000000000000000222e-01,1.865324279170752320e+01
5.400000000000000355e+00,-7.999999999999998224e-01,4.000000000000000222e-01,1.927332542303528129e+01
5.800000000000000711e+00,-7.999999999999998224e-01,4.000000000000000222e-01,1.744601964965714913e+01
6.200000000000000178e+00,-7.999999999999998224e-01,4.000000000000000222e-01,1.501447586951186253e+01
7.400000000000000355e+00,-7.999999999999998224e-01,4.000000000000000222e-01,1.527942774072899113e+01
7.800000000000000711e+00,-7.999999999999998224e-01,4.000000000000000222e-01,1.559080752711026285e+01
8.199999999999999289e+00,-7.999999999999998224e-01,4.000000000000000222e-01,1.515190695145558841e+01
4.599999999999999645e+00,-3.999999999999999112e-01,4.000000000000000222e-01,1.723095715838919517e+01
5.000000000000000000e+00,-3.999999999999999112e-01,4.000000000000000222e-01,2.156493723190178002e+01
5.400000000000000355e+00,-3.999999999999999112e-01,4.000000000000000222e-01,2.292639081337162210e+01
5.800000000000000711e+00,-3.999999999999999112e-01,4.000000000000000222e-01,2.012352393140483287e+01
6.200000000000000178e+00,-3.999999999999999112e-01,4.000000000000000222e-01,1.636373134255767781e+01
7.000000000000000000e+00,-3.999999999999999112e-01,4.000000000000000222e-01,1.509157751992236740e+01
7.400000000000000355e+00,-3.999999999999999112e-01,4.000000000000000222e-01,1.615296922650576050e+01
7.800000000000000711e+00,-3.999999999999999112e-01,4.000000000000000222e-01,1.610433405105514026e+01
8.199999999999999289e+00,-3.999999999999999112e-01,4.000000000000000222e-01,1.533197260727530953e+01
4.599999999999999645e+00,0.000000000000000000e+00,4.000000000000000222e-01,1.796829124992933302e+01
5.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000222e-01,2.330032463689368427e+01
5.400000000000000355e+00,0.000000000000000000e+00,4.000000000000000222e-01,2.506449040491154534e+01
5.800000000000000711e+00,0.000000000000000000e+00,4.000000000000000222e-01,2.115773952301681504e+01
