"x","y","z","mean"
5.000000000000000000e+00,-7.999999999999998224e-01,0.000000000000000000e+00,1.531648921665211027e+01
5.400000000000000355e+00,-7.999999999999998224e-01,0.000000000000000000e+00,1.566715948933835811e+01
5.000000000000000000e+00,-3.999999999999999112e-01,0.000000000000000000e+00,1.652889973965884707e+01
5.400000000000000355e+00,-3.999999999999999112e-01,0.000000000000000000e+00,1.694674406232021013e+01
5.800000000000000711e+00,-3.999999999999999112e-01,0.000000000000000000e+00,1.595428434415269692e+01
4.599999999999999645e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.545538278372016272e+01
5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.724699586805510876e+01
5.400000000000000355e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.756038044877067605e+01
5.800000000000000711e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.619129880107214348e+01
4.599999999999999645e+00,4.000000000000003553e-01,0.000000000000000000e+00,1.568600817380272083e+01
5.000000000000000000e+00,4.000000000000003553e-01,0.000000000000000000e+00,1.721264572920186708e+01
5.400000000000000355e+00,4.000000000000003553e-01,0.000000000000000000e+00,1.722560280436120550e+01
5.800000000000000711e+00,4.000000000000003553e-01,0.000000000000000000e+00,1.555266886918106906e+01
4.599999999999999645e+00,8.000000000000002665e-01,0.000000000000000000e+00,1.548082719942170726e+01
5.000000000000000000e+00,8.000000000000002665e-01,0.000000000000000000e+00,1.646672104249678981e+01
5.400000000000000355e+00,8.000000000000002665e-01,0.000000000000000000e+00,1.612490973690425022e+01
5.000000000000000000e+00,1.200000000000000178e+00,0.000000000000000000e+00,1.530844208234889336e+01
5.000000000000000000e+00,-1.199999999999999956e+00,4.000000000000000222e-01,1.572677002637211707e+01
5.400000000000000355e+00,-1.199999999999999956e+00,4.000000000000000222e-01,1.607422037775791779e+01
5.800000000000000711e+00,-1.199999999999999956e+00,4.000000000000000222e-01,1.521919282048164668e+01
4.599999999999999645e+00,-7.999999999999998224e-01,4.000000000000000222e-01,1.571702220224039515e+01
5.000000000000000000e+00,-7.999999999999998224e-01,4.000000000000000222e-01,1.813414065414526988e+01
5.400000000000000355e+00,-7.999999999999998224e-01,4.000000000000000222e-01,1.880538951735900355e+01
5.800000000000000711e+00,-7.999999999999998224e-01,4.000000000000000222e-01,1.748891881455275410e+01
6.200000000000000178e+00,-7.999999999999998224e-01,4.000000000000000222e-01,1.541458803099912522e+01
4.599999999999999645e+00,-3.999999999999999112e-01,4.000000000000000222e-01,1.710533382578865158e+01
5.000000000000000000e+00,-3.999999999999999112e-01,4.000000000000000222e-01,2.059676389446358513e+01
5.400000000000000355e+00,-3.999999999999999112e-01,4.000000000000000222e-01,2.165942774331340104e+01
5.800000000000000711e+00,-3.999999999999999112e-01,4.000000000000000222e-01,1.974122442914286424e+01
6.200000000000000178e+00,-3.999999999999999112e-01,4.000000000000000222e-01,1.680169937724960505e+01
4.599999999999999645e+00,0.000000000000000000e+00,4.000000000000000222e-01,1.808516911326715260e+01
