"x","y","mean","variance","upper_var","lower_var"
-2.248082000000000136e+00,7.723345999999999378e+00,6.849868104861904783e-01,2.795742519437024676e+00,5.204623629372647109e+00,9.015194257122516319e-02
-2.198082000000000313e+00,7.723345999999999378e+00,6.849867902410025078e-01,2.795742469628673899e+00,5.204623384098324479e+00,9.015194149075957120e-02
-2.148082000000000491e+00,7.723345999999999378e+00,6.849867699263497700e-01,2.795742420022821140e+00,5.204623138667992421e+00,9.015194039471170762e-02
-2.098082000000000669e+00,7.723345999999999378e+00,6.849867495543974227e-01,2.795742370665200038e+00,5.204622893258052052e+00,9.015193928322810801e-02
-2.048082000000000846e+00,7.723345999999999378e+00,6.849867291377905731e-01,2.795742321602187275e+00,5.204622648049726408e+00,9.015193815649821807e-02
-1.998082000000000136e+00,7.723345999999999378e+00,6.849867086896347379e-01,2.795742272880775037e+00,5.204622403228874816e+00,9.015193701475238131e-02
-1.948082000000000313e+00,7.723345999999999378e+00,6.849866882235018384e-01,2.795742224548489752e+00,5.204622158985877434e+00,9.015193585826528078e-02
-1.898082000000000491e+00,7.723345999999999378e+00,6.849866677534147685e-01,2.795742176653322808e+00,5.204621915515394548e+00,9.015193468735628601e-02
-1.848082000000000669e+00,7.723345999999999378e+00,6.849866472938523909e-01,2.795742129243626195e+00,5.204621673016210259e+00,9.015193350239336656e-02
-1.798082000000000846e+00,7.723345999999999378e+00,6.849866268597278873e-01,2.795742082368061876e+00,5.204621431690981126e+00,9.015193230379157929e-02
-2.898082000000000491e+00,7.673346000000002221e+00,6.849869955374385810e-01,2.795743001928713944e+00,5.204625921276975653e+00,9.015195158162012112e-02
-2.848082000000000669e+00,7.673346000000002221e+00,6.849869756245287045e-01,2.795742949297752133e+00,5.204625673344964731e+00,9.015195063465222813e-02
-2.798082000000000846e+00,7.673346000000002221e+00,6.849869555095577933e-01,2.795742896330045912e+00,5.204625423259402694e+00,9.015194967180009677e-02
-2.748082000000000136e+00,7.673346000000002221e+00,6.849869351992114996e-01,2.795742843060532667e+00,5.204625171135236705e+00,9.015194869283256474e-02
-2.698082000000000313e+00,7.673346000000002221e+00,6.849869147006252268e-01,2.795742789525491379e+00,5.204624917093290115e+00,9.015194769753499815e-02
-2.648082000000000491e+00,7.673346000000002221e+00,6.849868940214079993e-01,2.795742735762570597e+00,5.204624661260501384e+00,9.015194668571141490e-02
